url,chemical_name,numericals
http://www.industrialchemistry.org/PDF/r14132.pdf,valeronitrile,[110-59-8]
http://www.industrialchemistry.org/PDF/r14072.pdf,crotononitrile,[4786-20-3]
http://www.industrialchemistry.org/PDF/r16258.pdf,"1-cyclopropyl-6,7-difluoro-8-methoxy-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid, ethyl ester",[112811-71-9]
http://www.industrialchemistry.org/PDF/r4037.pdf,1-decene,"[872-05-9],[212-819-2]"
http://www.industrialchemistry.org/PDF/r9242.pdf,dimethylisopropanolamine,[108-16-7]
http://www.industrialchemistry.org/PDF/r8901.pdf,behenyl alcohol,[661-19-8]
http://www.industrialchemistry.org/PDF/r6552.pdf,1-dodecene,"[112-41-4],[203-968-4]"
http://www.industrialchemistry.org/PDF/r8373.pdf,laurylpyridinium chloride,[104-74-5]
http://www.industrialchemistry.org/PDF/r15721.pdf,ethyl propenyl ether,[928-55-2]
http://www.industrialchemistry.org/PDF/r16152.pdf,N-ethyl-3-cyano-6-hydroxy-4-methyl-2-pyridone,"[28141-13-1],[248-865-5]"
http://www.industrialchemistry.org/PDF/r5635.pdf,"2,4-dinitrofluorobenzene","[70-34-8],[200-734-3]"
http://www.industrialchemistry.org/PDF/r17544.pdf,1-heptene,"[592-76-7],[209-767-8]"
http://www.industrialchemistry.org/PDF/r158.pdf,cetyl alcohol,"[36653-82-4],[253-149-0]"
http://www.industrialchemistry.org/PDF/r4143.pdf,1-hexene,[592-41-6]
http://www.industrialchemistry.org/PDF/r14084.pdf,1-hydroxybenzotriazole,"[2592-95-2],[219-989-7]"
http://www.industrialchemistry.org/PDF/r12353.pdf,hydroxyacetone,[116-09-6]
http://www.industrialchemistry.org/PDF/r13917.pdf,isoprenol,"[763-32-6],[212-110-8]"
http://www.industrialchemistry.org/PDF/r12156.pdf,1-hydroxyanthraquinone,"[129-43-1],[204-946-7]"
http://www.industrialchemistry.org/PDF/r5047.pdf,stearyl imidazoline,[95-19-2]
http://www.industrialchemistry.org/PDF/r896.pdf,a-naphthol,[90-15-3]
http://www.industrialchemistry.org/PDF/r10610.pdf,perfluorohexyl iodide,"[355-43-1],[206-586-6]"
http://www.industrialchemistry.org/PDF/r5065.pdf,4-methyl-1-pentene,[691-37-2]
http://www.industrialchemistry.org/PDF/r16924.pdf,1-methylcyclopropene,[3100-04-7]
http://www.industrialchemistry.org/PDF/r13710.pdf,a-bisabolol,[515-69-5]
http://www.industrialchemistry.org/PDF/r16118.pdf,methoxyisopropylamine,[37143-54-7]
http://www.industrialchemistry.org/PDF/r3277.pdf,amphetamine,"[300-62-9],[60-13-9]"
